FIPS,State,County,obesity_rate,median_household_income,physical_inactivity_rate,population_over_65,uninsured_adults_pct,rural_pct,children_in_poverty_pct,pcp_rate,insured_coverage_pct,health_insurance_coverage,urban_rural,poverty_level,diabetes_rate
51001.0,Virginia,Accomack,44.0,56039.0,29.7,26.75772436,12.980139987,90.354053811,24.1,36.09457,87.019860013,Low,Rural,High Poverty,13.0
51003.0,Virginia,Albemarle,31.7,102750.0,17.3,21.268024482,7.4443579519,40.374571823,8.7,139.16413,92.5556420481,High,Urban,Low Poverty,9.0
51005.0,Virginia,Alleghany,40.9,58215.0,24.3,26.515930113,7.438817543,53.136701044,19.4,40.03737,92.561182457,High,Rural,Medium Poverty,11.0
51007.0,Virginia,Amelia,43.0,71112.0,26.4,21.513353116,11.621933993,100.0,14.1,7.53693,88.378066007,Low,Rural,Medium Poverty,13.0
51009.0,Virginia,Amherst,36.1,61499.0,24.1,22.655752325,8.9357880557,62.366243971,16.2,22.38353,91.0642119443,Medium,Rural,Medium Poverty,12.0
51011.0,Virginia,Appomattox,42.4,64701.0,27.3,21.424335863,10.104712042,100.0,15.8,12.23017,89.895287958,Low,Rural,Medium Poverty,12.0
51013.0,Virginia,Arlington,25.9,138416.0,17.0,12.417471665,5.4291458765,0.0,8.0,77.26483,94.5708541235,High,Urban,Low Poverty,9.0
51015.0,Virginia,Augusta,37.8,72831.0,22.3,23.217503546,8.3178662267,84.264457264,10.3,52.86026,91.6821337733,High,Rural,Low Poverty,10.0
51017.0,Virginia,Bath,40.8,60234.0,27.6,30.017279684,7.6642335766,100.0,15.1,,92.3357664234,High,Rural,Medium Poverty,13.0
51019.0,Virginia,Bedford,35.2,72742.0,21.1,23.88224471,8.6887462706,70.734439103,12.1,74.87738999999999,91.3112537294,Medium,Rural,Low Poverty,10.0
51021.0,Virginia,Bland,39.5,57748.0,22.7,25.505745266,7.5532601679,100.0,15.5,,92.4467398321,High,Rural,Medium Poverty,11.0
51023.0,Virginia,Botetourt,35.7,84395.0,20.1,24.591941392,5.8874635867,59.438623646,7.6,56.10347,94.1125364133,High,Rural,Low Poverty,10.0
51025.0,Virginia,Brunswick,45.3,51441.0,29.8,22.972887167,10.715207849,100.0,26.7,25.0941,89.284792151,Low,Rural,High Poverty,15.0
